postcode,year,scenario,state,ev_count,total_upstream_gb,hour_00_mbps,hour_01_mbps,hour_02_mbps,hour_03_mbps,hour_04_mbps,hour_05_mbps,hour_06_mbps,hour_07_mbps,hour_08_mbps,hour_09_mbps,hour_10_mbps,hour_11_mbps,hour_12_mbps,hour_13_mbps,hour_14_mbps,hour_15_mbps,hour_16_mbps,hour_17_mbps,hour_18_mbps,hour_19_mbps,hour_20_mbps,hour_21_mbps,hour_22_mbps,hour_23_mbps
6448,2037,MEDIUM,WA,188,276.5404,10.9777,6.3243,6.3459,1.9893,0.9,0.9,0.9,0.9341,0.9,0.6608,0.0,0.3272,0.1296,6.9054,32.0194,15.0447,12.4128,95.5567,81.7119,112.4554,143.7922,32.0552,56.1237,9.9167
6450,2027,HIGH,WA,1204,2003.9262,175.0011,74.8007,27.5687,27.5618,37.8574,18.2659,48.435,26.0835,43.2291,56.0508,50.1079,48.7852,116.6078,182.0748,278.246,358.6694,220.5105,331.315,376.9762,456.1261,599.3237,350.3234,447.6337,196.144
6450,2027,LOW,WA,45,58.9201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,4.7684,1.0823,18.0,1.1216,0.1224,15.5926,6.1924,0.1055,28.7541,29.0719,0.0233,12.1929,17.0097
6450,2027,MEDIUM,WA,169,229.633,2.0336,5.4,5.4498,5.4643,7.7779,14.4,7.4778,5.4372,13.9524,5.301,7.8801,9.0874,8.9,2.1168,2.8995,31.8599,59.0956,44.1335,83.4536,22.2295,42.5798,74.6556,29.8534,31.104
6450,2032,HIGH,WA,5829,10696.9098,836.1881,385.1928,254.8992,215.4669,178.2536,110.7768,106.5612,163.1192,181.2168,237.5216,283.8543,381.2085,560.1452,775.2672,994.5877,1165.9768,1768.0626,2050.2932,2305.5753,2716.8016,2915.6547,2562.4832,2072.2542,1094.1168
6450,2032,LOW,WA,1019,1965.6164,163.7861,131.1472,120.2012,43.5779,48.0362,37.7171,18.7082,27.7166,33.2355,35.1178,80.6682,111.6254,113.4325,133.0387,162.964,237.1787,334.1521,311.4024,628.5751,453.1455,417.0347,368.2245,223.2797,202.355
6450,2032,MEDIUM,WA,2375,4220.4014,290.3639,140.4224,117.7773,51.3466,58.6348,99.3224,57.8965,67.189,50.511,86.5292,100.7111,132.7771,157.1625,398.5008,530.2901,568.3006,677.949,871.5537,886.7596,1084.5931,1168.6179,863.6108,611.2374,503.5408
6450,2037,HIGH,WA,11194,20179.7952,1355.9763,680.4555,390.2397,322.4989,270.8021,280.7184,218.4661,319.2501,276.829,392.5075,484.1452,929.3726,1174.1475,1688.1084,2192.2549,2560.8964,3308.4778,3950.2495,4485.7741,5018.5572,5027.6469,4533.6516,3545.1848,2310.9399
6450,2037,LOW,WA,4647,8502.8155,554.5101,324.9788,231.3698,182.1811,142.0309,141.4634,91.3498,68.8946,96.5184,118.1384,192.021,281.1323,394.7286,702.1305,869.4184,1222.1372,1464.101,1898.6179,1849.6926,1944.1008,2122.6333,1934.855,1586.5581,903.5109
6450,2037,MEDIUM,WA,7422,13417.3376,842.0914,495.2218,311.8209,240.755,195.545,166.8744,173.1613,181.5234,263.5832,200.528,244.1165,490.9088,622.2889,1076.2719,1470.3054,1543.0535,1846.2242,2513.1858,2926.4916,3703.5516,3343.9625,3426.9746,2575.0086,1565.3519
6452,2032,HIGH,WA,1,0.0241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547,0.0
6452,2037,HIGH,WA,3,9.5295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0459,0.0,0.0,0.0,0.3452,9.0135,0.0,0.0,0.0,0.0,12.2803,0.0,0.0
6452,2037,LOW,WA,1,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
